"Datum","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","id","Umsatz","Warengruppe","KielerWoche","Wochentag","Feiertag","Art_des_Feiertags","Kreuzfahrtschiffe","Jahreszeit","Fussballspiel","Flohmarkt","Handballspiele","Ferien","RollingMean_temp","Diff_temp","RollingMean_wind","Diff_wind","RollingMean_bewoelkung","Diff_bewoelkung","Temperaturkategorie","Wettercode_imp","Wettercode_imp.1","Bewoelkung_imp"
2013-07-03,"7",15,15,"61",1307031,111.885593514353,1,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,17.925,3.15,10.1428571428571,-4.14285714285714,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-03,"7",17.8375,17.8375,"61",1307032,427.343258749983,2,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,18.3875,2.6875,8.85714285714286,-2.85714285714286,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-03,"7",15,15,"61",1307033,210.260241465493,3,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,18.925,2.15,8.28571428571429,-2.28571428571429,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-03,"7",17.8375,17.8375,"61",1307034,69.2627280649987,4,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.4625,1.6125,7.71428571428571,-1.71428571428571,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-03,"7",15,15,"61",1307035,305.523072325318,5,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,20,1.075,7.14285714285714,-1.14285714285714,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-04,"7",17.8375,17.8375,"20",1307041,168.864940979931,1,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.2196428571429,-1.36964285714286,6.71428571428571,0.285714285714286,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-04,"7",15,15,"20",1307042,454.859641347987,2,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.4392857142857,-1.58928571428571,6.28571428571429,0.714285714285714,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-04,"7",17.8375,17.8375,"20",1307043,190.686641378586,3,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.1214285714286,-1.27142857142857,6.42857142857143,0.571428571428571,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-04,"7",15,15,"20",1307044,61.490175369225,4,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,19.8035714285714,-0.953571428571429,6.57142857142857,0.428571428571429,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-04,"7",17.8375,17.8375,"20",1307045,308.408167942149,5,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,19.4857142857143,-0.635714285714286,6.71428571428571,0.285714285714286,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-05,"5",15,15,"0",1307051,171.280754117955,1,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.3285714285714,0.646428571428572,7.57142857142857,4.42857142857143,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-05,"5",17.8375,17.8375,"45",1307052,492.818804066088,2,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.1714285714286,0.803571428571427,8.42857142857143,3.57142857142857,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-05,"5",15,15,"5",1307053,181.644870215041,3,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.3321428571429,0.642857142857142,9.14285714285714,2.85714285714286,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-05,"5",17.8375,17.8375,"61",1307054,86.7598614451924,4,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.4928571428571,0.482142857142858,9.85714285714286,2.14285714285714,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-05,"5",15,15,"20",1307055,355.518770367742,5,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.6535714285714,0.321428571428573,10.5714285714286,1.42857142857143,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-06,"0",17.8375,17.8375,"61",1307061,174.552359998476,1,0,"Samstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,19.6696428571429,-0.707142857142859,10.7142857142857,-2.71428571428571,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-06,"0",15,15,"61",1307062,631.906068038484,2,0,"Samstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,19.6857142857143,-0.723214285714288,10.8571428571429,-2.85714285714286,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-06,"0",17.8375,17.8375,"0",1307063,291.557959835153,3,0,"Samstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,19.5410714285714,-0.578571428571429,10.2857142857143,-2.28571428571429,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-06,"0",15,15,"5",1307064,80.6465768881107,4,0,"Samstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,19.3964285714286,-0.433928571428574,9.71428571428571,-1.71428571428571,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-06,"0",17.8375,17.8375,"0",1307065,361.866932797941,5,0,"Samstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,19.2517857142857,-0.289285714285715,9.14285714285714,-1.14285714285714,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-07,"0",15,15,"5",1307071,92.6377553788373,1,0,"Sonntag",0,"Kein Feiertag",1,"Sommer",0,1,0,1,19.4517857142857,1.92321428571429,8.71428571428571,0.285714285714286,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-07,"0",17.8375,17.8375,"71",1307072,695.25572963054,2,0,"Sonntag",0,"Kein Feiertag",1,"Sommer",0,1,0,1,19.6517857142857,1.72321428571429,8.28571428571429,0.714285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-07,"0",15,15,"0",1307073,279.665938833443,3,0,"Sonntag",0,"Kein Feiertag",1,"Sommer",0,1,0,1,19.9964285714286,1.37857142857143,8.42857142857143,0.571428571428571,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-07,"0",17.8375,17.8375,"61",1307074,94.6039024817053,4,0,"Sonntag",0,"Kein Feiertag",1,"Sommer",0,1,0,1,20.3410714285714,1.03392857142857,8.57142857142857,0.428571428571429,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-07,"0",15,15,"0",1307075,370.20960108863,5,0,"Sonntag",0,"Kein Feiertag",1,"Sommer",0,1,0,1,20.6857142857143,0.689285714285713,8.71428571428571,0.285714285714286,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-08,"0",17.8375,17.8375,"5",1307081,135.500244042392,1,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,21.2232142857143,1.50178571428572,9,1,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-08,"0",15,15,"5",1307082,538.529249911711,2,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,21.7607142857143,0.964285714285715,9.28571428571429,0.714285714285714,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-08,"0",17.8375,17.8375,"5",1307083,195.158794309303,3,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,21.9535714285714,0.771428571428572,9.42857142857143,0.571428571428571,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-08,"0",15,15,"5",1307084,49.5000238633042,4,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,22.1464285714286,0.578571428571429,9.57142857142857,0.428571428571429,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-08,"0",17.8375,17.8375,"5",1307085,285.233382496522,5,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,22.3392857142857,0.385714285714286,9.71428571428571,0.285714285714286,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-09,"0",15,15,"5",1307091,136.048382778344,1,0,"Dienstag",0,"Kein Feiertag",3,"Sommer",0,0,0,1,22.6107142857143,0.664285714285711,9.57142857142857,-1.57142857142857,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-09,"0",17.8375,17.8375,"0",1307092,585.957264698849,2,0,"Dienstag",0,"Kein Feiertag",3,"Sommer",0,0,0,1,22.8821428571429,0.392857142857142,9.42857142857143,-1.42857142857143,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-09,"0",15,15,"21",1307093,245.808338509722,3,0,"Dienstag",0,"Kein Feiertag",3,"Sommer",0,0,0,1,22.9607142857143,0.314285714285713,9.14285714285714,-1.14285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-09,"0",17.8375,17.8375,"21",1307094,75.2089975834558,4,0,"Dienstag",0,"Kein Feiertag",3,"Sommer",0,0,0,1,23.0392857142857,0.235714285714284,8.85714285714286,-0.857142857142858,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-09,"0",15,15,"21",1307095,342.089345776475,5,0,"Dienstag",0,"Kein Feiertag",3,"Sommer",0,0,0,1,23.1178571428571,0.157142857142855,8.57142857142857,-0.571428571428571,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-10,"2",17.8375,17.8375,"5",1307101,135.132314289581,1,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,22.6839285714286,-2.99642857142857,9,4,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-10,"2",15,15,"5",1307102,567.365764527953,2,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,22.25,-2.5625,9.42857142857143,3.57142857142857,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-10,"2",17.8375,17.8375,"5",1307103,265.109142544045,3,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,21.7375,-2.05,10.1428571428571,2.85714285714286,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-10,"2",15,15,"5",1307104,73.8056511129258,4,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,21.225,-1.5375,10.8571428571429,2.14285714285714,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-10,"2",17.8375,17.8375,"5",1307105,343.353066508123,5,0,"Mittwoch",0,"Kein Feiertag",0,"Sommer",0,0,0,1,20.7125,-1.025,11.5714285714286,1.42857142857143,NA,NA,"mittel",FALSE,FALSE,FALSE
2013-07-11,"0",15,15,"5",1307111,138.549392636714,1,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.4410714285714,0.93392857142857,12.1428571428571,-0.142857142857142,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-11,"0",17.8375,17.8375,"5",1307112,569.109374584873,2,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.1696428571429,1.20535714285714,12.7142857142857,-0.714285714285714,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-11,"0",15,15,"5",1307113,234.65807920749,3,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.4107142857143,0.964285714285715,12.5714285714286,-0.571428571428571,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-11,"0",17.8375,17.8375,"5",1307114,68.6330279122302,4,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.6517857142857,0.723214285714285,12.4285714285714,-0.428571428571429,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-11,"0",15,15,"5",1307115,315.911756962233,5,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,20.8928571428571,0.482142857142858,12.2857142857143,-0.285714285714286,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-12,"0",17.8375,17.8375,"21",1307121,101.447511461298,1,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,20.9785714285714,-0.691071428571426,11.4285714285714,-4.42857142857143,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-12,"0",15,15,"61",1307122,600.267914678783,2,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,21.0642857142857,-0.776785714285712,10.5714285714286,-3.57142857142857,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-12,"0",17.8375,17.8375,"21",1307123,290.199097765019,3,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,20.9089285714286,-0.62142857142857,9.85714285714286,-2.85714285714286,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-12,"0",15,15,"95",1307125,362.802489634211,5,0,"Freitag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,20.7535714285714,-0.466071428571428,9.14285714285714,-2.14285714285714,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-13,"1",17.8375,17.8375,"21",1307131,141.233309883732,1,0,"Samstag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,20.575,-0.449999999999999,9.14285714285714,2.85714285714286,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-13,"1",15,15,"61",1307132,747.140776382576,2,0,"Samstag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,20.3964285714286,-0.271428571428572,9.14285714285714,2.85714285714286,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-13,"1",17.8375,17.8375,"63",1307133,340.046632736531,3,0,"Samstag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,20.2178571428571,-0.0928571428571452,9.14285714285714,2.85714285714286,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-13,"1",15,15,"61",1307134,74.2744737887665,4,0,"Samstag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,20.1946428571429,-0.0696428571428562,9.85714285714286,2.14285714285714,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-13,"1",17.8375,17.8375,"61",1307135,359.166188843392,5,0,"Samstag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,20.1714285714286,-0.0464285714285708,10.5714285714286,1.42857142857143,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-14,"5",15,15,"5",1307141,112.524365708762,1,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,19.8,-2.1125,11.7142857142857,3.28571428571429,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-14,"5",17.8375,17.8375,"5",1307142,777.048841669282,2,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,19.4285714285714,-1.74107142857143,12.8571428571429,2.14285714285714,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-14,"5",15,15,"5",1307143,320.626816189556,3,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,19.0803571428571,-1.39285714285714,13.2857142857143,1.71428571428571,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-14,"5",17.8375,17.8375,"5",1307144,115.271617188867,4,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,18.7321428571429,-1.04464285714286,13.7142857142857,1.28571428571429,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-14,"5",15,15,"5",1307145,461.082124524619,5,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,18.3839285714286,-0.696428571428573,14.1428571428571,0.857142857142858,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-15,"6",17.8375,17.8375,"5",1307151,161.264677322182,1,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,18.1857142857143,0.551785714285714,14.1428571428571,-2.14285714285714,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-15,"6",15,15,"0",1307152,596.995099998235,2,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,17.9875,0.75,14.1428571428571,-2.14285714285714,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-15,"6",17.8375,17.8375,"10",1307153,243.526401440661,3,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,18.1375,0.600000000000001,13.7142857142857,-1.71428571428571,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-15,"6",15,15,"0",1307154,99.4935305857439,4,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,18.2875,0.449999999999999,13.2857142857143,-1.28571428571429,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-15,"6",17.8375,17.8375,"10",1307155,380.68369651152,5,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,18.4375,0.300000000000001,12.8571428571429,-0.857142857142858,NA,NA,"mittel",TRUE,TRUE,FALSE
2013-07-16,"1",15,15,"61",1307161,116.821358174215,1,0,"Dienstag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,18.9375,2.25,12.1428571428571,-2.14285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-16,"1",17.8375,17.8375,"21",1307162,558.797138274201,2,0,"Dienstag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.4375,1.75,11.4285714285714,-1.42857142857143,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-16,"1",15,15,"0",1307163,287.415464972525,3,0,"Dienstag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,19.7875,1.4,11.1428571428571,-1.14285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-16,"1",17.8375,17.8375,"10",1307164,91.7796976081033,4,0,"Dienstag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,20.1375,1.05,10.8571428571429,-0.857142857142858,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-16,"1",15,15,"0",1307165,320.43533597922,5,0,"Dienstag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,20.4875,0.699999999999999,10.5714285714286,-0.571428571428571,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-17,"5",17.8375,17.8375,"61",1307171,150.572919592838,1,0,"Mittwoch",0,"Kein Feiertag",1,"Sommer",0,0,0,1,21.0267857142857,1.48571428571428,10,-2,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-17,"5",15,15,"61",1307172,628.325718978073,2,0,"Mittwoch",0,"Kein Feiertag",1,"Sommer",0,0,0,1,21.5660714285714,0.946428571428569,9.42857142857143,-1.42857142857143,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-17,"5",17.8375,17.8375,"61",1307173,301.777437970497,3,0,"Mittwoch",0,"Kein Feiertag",1,"Sommer",0,0,0,1,21.7553571428571,0.757142857142856,9.14285714285714,-1.14285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-17,"5",15,15,"61",1307175,396.99424714406,5,0,"Mittwoch",0,"Kein Feiertag",1,"Sommer",0,0,0,1,21.9446428571429,0.567857142857143,8.85714285714286,-0.857142857142858,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-18,"1",17.8375,17.8375,"5",1307181,101.90072129658,1,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,22.2392857142857,1.01071428571429,9,2,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-18,"1",15,15,"5",1307182,647.822253705942,2,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,22.5339285714286,0.716071428571428,9.14285714285714,1.85714285714286,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-18,"1",17.8375,17.8375,"5",1307183,250.426586853024,3,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,22.8285714285714,0.421428571428571,9.28571428571429,1.71428571428571,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-18,"1",15,15,"5",1307184,89.2058404577425,4,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,22.9339285714286,0.31607142857143,9.71428571428571,1.28571428571429,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-18,"1",17.8375,17.8375,"5",1307185,300.398790118057,5,0,"Donnerstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,23.0392857142857,0.210714285714285,10.1428571428571,0.857142857142858,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-19,"3",15,15,"5",1307191,161.63511518654,1,0,"Freitag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,23.0339285714286,-0.55892857142857,11.2857142857143,4.71428571428571,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-19,"3",17.8375,17.8375,"5",1307192,646.788959790823,2,0,"Freitag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,23.0285714285714,-0.553571428571427,12.4285714285714,3.57142857142857,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-19,"3",15,15,"5",1307193,287.18828629416,3,0,"Freitag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,22.9178571428571,-0.442857142857143,13.1428571428571,2.85714285714286,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-19,"3",17.8375,17.8375,"5",1307194,62.0636098816993,4,0,"Freitag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,22.8071428571429,-0.332142857142856,13.8571428571429,2.14285714285714,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-19,"3",15,15,"5",1307195,369.400389277533,5,0,"Freitag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,22.6964285714286,-0.221428571428572,14.5714285714286,1.42857142857143,NA,NA,"hoch",FALSE,FALSE,FALSE
2013-07-20,"0",17.8375,17.8375,"45",1307201,134.328076682024,1,0,"Samstag",0,"Kein Feiertag",1,"Sommer",1,0,0,1,22.6875,0.5,14.1428571428571,-6.14285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-20,"0",15,15,"61",1307202,843.051280035386,2,0,"Samstag",0,"Kein Feiertag",1,"Sommer",1,0,0,1,22.6785714285714,0.508928571428569,13.7142857142857,-5.71428571428571,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-20,"0",17.8375,17.8375,"61",1307203,394.765674710477,3,0,"Samstag",0,"Kein Feiertag",1,"Sommer",1,0,0,1,22.7803571428571,0.407142857142855,12.5714285714286,-4.57142857142857,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-20,"0",15,15,"22",1307204,69.9369965472912,4,0,"Samstag",0,"Kein Feiertag",1,"Sommer",1,0,0,1,22.8821428571429,0.305357142857144,11.4285714285714,-3.42857142857143,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-20,"0",17.8375,17.8375,"5",1307205,346.154004294146,5,0,"Samstag",0,"Kein Feiertag",1,"Sommer",1,0,0,1,22.9839285714286,0.203571428571429,10.2857142857143,-2.28571428571429,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-21,"0",15,15,"0",1307211,66.2887578161955,1,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,23.5410714285714,2.83392857142857,9.14285714285714,-1.14285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-21,"0",17.8375,17.8375,"28",1307212,815.942264195776,2,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,24.0982142857143,2.27678571428572,8,0,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-21,"0",15,15,"61",1307213,346.658236387984,3,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,24.5535714285714,1.82142857142857,8,0,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-21,"0",17.8375,17.8375,"0",1307214,82.6826868784511,4,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,25.0089285714286,1.36607142857143,8,0,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-21,"0",15,15,"21",1307215,287.443788531561,5,0,"Sonntag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,25.4642857142857,0.910714285714285,8,0,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-22,"0",17.8375,17.8375,"21",1307221,131.223948997842,1,0,"Montag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,25.8803571428571,0.219642857142858,8.14285714285714,0.857142857142858,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-22,"0",15,15,"5",1307222,647.682748973215,2,0,"Montag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,26.2964285714286,-0.196428571428569,8.28571428571429,0.714285714285714,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-22,"0",17.8375,17.8375,"21",1307223,297.712614415266,3,0,"Montag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,26.2571428571429,-0.157142857142855,8.42857142857143,0.571428571428571,NA,NA,"hoch",TRUE,TRUE,FALSE
2013-07-22,"0",15,15,"61",1307224,99.3353908053911,4,0,"Montag",0,"Kein Feiertag",2,"Sommer",0,0,0,1,26.2178571428571,-0.117857142857144,8.57142857142857,0.428571428571429,NA,NA,"hoch",TRUE,TRUE,FALSE
