"Datum","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Warengruppe","Umsatz","id","KielerWoche","Feiertag","Art_des_Feiertags","Ferien","Wochentag","Fussballspiel","Flohmarkt","Jahreszeit","Temperaturkategorie","Kreuzfahrtschiffe"
2012-02-11,7,-4.575,8,78,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-02-12,8,-1.2375,16,72,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-02-13,6,-2.325,8,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-02-14,8,1.3,10,47,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-02-15,1,4.8625,18,54,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-02-16,7,2.9625,10,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-02-17,5,5.5625,14,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-02-18,8,6.175,14,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","1",0,NA,"niedrig",0
2012-02-19,4,4.2,18,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-02-20,5,4.1125,14,41,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-02-21,8,4.95,14,58,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-02-22,7,7.175,18,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-02-23,6,8.4125,18,35,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-02-24,7,8.35,19,20,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-02-25,6,6.525,19,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-02-26,1,4.675,8,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-02-27,8,3.725,12,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-02-28,8,7.675,14,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-02-29,8,7.775,10,47,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-03-01,6,7.625,12,43,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-03-02,7,5.9125,6,28,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-03-03,5,7.0375,14,34,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","1",0,NA,"niedrig",0
2012-03-04,7,4.675,8,41,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-03-05,7,4.875,10,47,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-03-06,4,4.5125,10,54,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-03-07,7,4.05,10,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-03-08,2,7.5125,14,35,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-03-09,8,7.825,14,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-03-10,6,8.7,19,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-03-11,6,8.95,14,7,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-03-12,5,9.0125,18,4,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"mittel",0
2012-03-13,6,9.95,16,1,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-03-14,7,7.7875,10,4,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-03-15,6,7.4,8,7,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-03-16,3,12.0375,14,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-03-17,6,9.775,14,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","1",0,NA,"mittel",0
2012-03-18,7,9.8375,16,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-03-19,4,8.1125,18,56,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-03-20,7,8.0875,18,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-03-21,5,12.625,16,26,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-03-22,0,12.7625,6,2,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-03-23,0,13.4875,6,6,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-03-24,5,7.8375,8,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-03-25,0,13.1375,10,1,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-03-26,7,8.4875,8,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-03-27,4,15.5,10,28,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-03-28,3,14.8375,18,5,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-03-29,6,8.9875,19,21,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-03-30,3,9.9625,18,1,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-03-31,4,6.1125,19,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","1",0,NA,"niedrig",0
2012-04-01,7,6.525,19,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-04-02,7,5.5875,16,23,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-04-03,7,3.3,10,22,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-04-04,7,4.5875,18,21,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-04-05,1,5.6375,10,41,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-04-06,7,6.2,18,61,NA,NA,NA,0,1,"Ostern",NA,"Freitag","0",0,NA,"niedrig",0
2012-04-07,4,3.7125,19,60,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-04-08,2,5.75,10,59,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-04-09,8,6.5125,10,58,NA,NA,NA,0,1,"Ostern",NA,"Montag","0",0,NA,"niedrig",0
2012-04-10,8,10.5875,10,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-04-11,7,10.475,12,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-04-12,6,9.575,12,81,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-04-13,7,8.725,10,53,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-04-14,6,8.8125,8,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","1",0,NA,"niedrig",0
2012-04-15,7,8.075,10,21,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-04-16,4,7.5,16,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-04-17,5,8.0375,12,83,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-04-18,6,9.6125,10,87,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-04-19,2,14.2375,14,91,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-04-20,6,9.225,10,95,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-04-21,6,12.2,10,91,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"mittel",0
2012-04-22,6,9.9875,10,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-04-23,6,9.95,10,81,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"mittel",0
2012-04-24,7,10,8,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-04-25,6,11.6375,12,60,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-04-26,6,14.1875,14,60,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-04-27,5,14.925,12,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-04-28,6,9.5125,18,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"mittel",0
2012-04-29,7,11.4625,23,64,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-04-30,3,16.2375,8,67,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-05-01,5,13.4125,19,70,NA,NA,NA,0,1,"Tag der Arbeit",NA,"Dienstag","0",0,NA,"mittel",0
2012-05-02,1,13.45,12,73,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-05-03,6,16.6,8,76,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"hoch",0
2012-05-04,7,12.65,10,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-05-05,2,10.5,8,73,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"mittel",0
2012-05-06,5,8.6,8,67,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-05-07,7,7.575,6,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-05-08,6,16.075,8,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"hoch",0
2012-05-09,6,16.85,10,81,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"hoch",0
2012-05-10,7,17.85,12,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"hoch",0
2012-05-11,5,16.525,19,70,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-05-12,5,9.3875,23,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"mittel",0
2012-05-13,6,11.0125,10,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-05-14,6,14.525,12,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"mittel",0
2012-05-15,7,11.45,10,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-05-16,6,8.8875,19,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-05-17,4,10.8125,18,3,NA,NA,NA,0,1,"Christi Himmelfahrt, Pfingsten",NA,"Donnerstag","0",0,NA,"mittel",0
2012-05-18,6,16.2125,10,7,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-05-19,5,17.7625,6,11,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-05-20,6,18.475,10,15,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-05-21,5,18.514285,14,19,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-05-22,4,19.2,12,23,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"hoch",0
2012-05-23,4,18.2375,14,27,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"hoch",0
2012-05-24,0,18.8625,12,32,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"hoch",0
2012-05-25,0,19.85,10,36,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-05-26,4,21.45,8,40,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-05-27,1,19.875,10,44,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-05-28,2,22.8375,14,48,NA,NA,NA,0,1,"Christi Himmelfahrt, Pfingsten",NA,"Montag","0",0,NA,"hoch",0
2012-05-29,4,15.35,12,52,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-05-30,6,12.9375,14,56,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-05-31,7,13.2625,10,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-06-01,4,12.8875,19,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-06-02,4,12.4625,16,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"mittel",0
2012-06-03,7,12.35,12,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-06-04,7,13.2125,14,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"mittel",0
2012-06-05,5,13.2125,16,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-06-06,7,13.8375,10,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-06-07,7,15.1875,10,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-06-08,4,19.3375,12,95,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-06-09,6,14.6,14,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"mittel",0
2012-06-10,6,15,16,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-06-11,3,16.525,8,57,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-06-12,7,14.1125,6,63,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-06-13,4,15.1625,12,63,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-06-14,6,14.05,12,63,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-06-15,7,18.3125,8,63,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-06-16,6,18.4625,10,25,NA,NA,NA,1,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-06-17,6,16.9625,14,25,NA,NA,NA,1,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-06-18,6,19.5875,19,95,NA,NA,NA,1,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-06-19,6,17.3125,6,78,NA,NA,NA,1,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"hoch",0
2012-06-20,6,17.65,12,62,NA,NA,NA,1,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"hoch",0
2012-06-21,4,18.5125,16,45,NA,NA,NA,1,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"hoch",0
2012-06-22,4,18.325,14,29,NA,NA,NA,1,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-06-23,6,16.8875,12,80,NA,NA,NA,1,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-06-24,8,12.875,12,63,NA,NA,NA,1,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"mittel",0
2012-06-25,6,13.8875,18,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"mittel",0
2012-06-26,6,14.3,18,20,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"mittel",0
2012-06-27,8,14.5625,10,45,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"mittel",0
2012-06-28,6,18.2625,8,70,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"hoch",0
2012-06-29,6,22.75,8,95,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-06-30,5,23.1375,10,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-07-01,4,19.5125,14,66,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-07-02,6,19.4375,10,52,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-07-03,3,20.5375,12,38,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"hoch",0
2012-07-04,5,19.95,12,24,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"hoch",0
2012-07-05,7,17.2625,12,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"hoch",0
2012-07-06,7,18.5375,10,60,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-07-07,7,20.7875,4,77,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-07-08,5,22.975,10,95,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-07-09,7,16.5,16,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-07-10,6,18.825,14,1,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"hoch",0
2012-07-11,6,17.15,14,29,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"hoch",0
2012-07-12,5,15.4875,14,81,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-07-13,6,17.0875,6,21,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-07-14,6,17.9125,19,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-07-15,5,16.375,16,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-07-16,5,16.875,16,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-07-17,5,17.1375,18,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"hoch",0
2012-07-18,7,16.95,6,63,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"hoch",0
2012-07-19,7,15.8125,16,81,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"mittel",0
2012-07-20,6,15.25,16,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"mittel",0
2012-07-21,6,16.1625,16,77,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-07-22,4,18.325,12,75,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-07-23,2,22.483333,12,72,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"hoch",0
2012-07-25,1,25.65,8,70,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"hoch",0
2012-07-26,1,22.5875,8,67,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"hoch",0
2012-07-27,1,26.075,10,65,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"hoch",0
2012-07-28,7,18.95,14,63,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"hoch",0
2012-07-29,7,16.0375,8,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"hoch",0
2012-07-30,6,15.1875,10,95,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"mittel",0
